id,name,gender,culture,born,died,titles,aliases
332,Duram Bar Emmon,Male,,In 284 AC,,Lord of Sharp Point,
333,Durran,Male,First Men,Age of Heroes,,Storm King,"Durran Godsgrief, The Godsgrief, King of a Thousand Years"
334,Dyanna Dayne,Female,,,In or between 201 AC and 209 AC,Lady,
335,Dykk Harlaw,Male,,,"In 299 AC, at Winterfell",,
336,Ebben,Male,,,"In 299 AC, at Skirling Pass",,
337,Eddara Tallhart,Female,Northmen,In 289 AC or 290 AC,,Lady of Torrhen's Square,
338,Eddard Karstark,Male,Northmen,At Karhold,"In 298 AC, at the Whispering Wood",,Edd
339,Eddard Stark,Male,Northmen,"In 263 AC, at Winterfell","In 299 AC, at Great Sept of Baelor in King's Landing","Lord of Winterfell, Warden of the North, Hand of the King, Protector of the Realm, Regent","Ned, The Ned, The Quiet Wolf"
340,Edderion Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",Ederrion the Bridegroom
341,Eddison Tollet,Male,Valemen,,,,Dolorous Edd
342,Eden Risley,Male,,,,Ser,
343,Edgerran Oakheart,Male,,,,Lord,Edgerran the Open-Handed
344,Edmund Ambrose,Male,,,,Ser,
345,Edmund Waxley,Male,,,,"The Knight of Wickenden, Ser",
346,Edmure Tully,Male,Rivermen,In or between 267 AC and 274 AC,,"Ser, Lord of Riverrun (lost to Emmon Frey)",
347,Edmyn Tully,Male,Rivermen,,,"Lord of Riverrun, Lord Paramount of the Trident, Hand of the King",
348,Edric Dayne,Male,,"In 287 AC, at Starfall",,Lord of Starfall,Ned
349,Edrick Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",Edrick Snowbeard
350,Edwyd Fossoway,Male,,,"In 299 AC, at Blackwater Rush",Ser,
351,Edwyle Stark,Male,Northmen,,,"Lord of Winterfell, Warden of the North",
352,Edwyn Frey,Male,,In or between 259 AC and 278 AC,,,
353,Edwyn Osgrey,Male,,,"In 196 AC, at the Redgrass Field",Ser,
354,Edwyn Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",The Spring King
355,Eglantine,Female,,,,Septa,
356,Elbert Arryn,Male,,,"In 282 AC, at King's Landing",Ser,
357,Eldon Estermont,Male,Stormlands,In or between 228 AC and 232 AC,,"Ser, Lord of Greenstone",
358,Eldred Codd,Male,Ironborn,,,,
359,Eleanor Mooton,Female,,In 286 AC or 287 AC,,,
360,Eleyna Westerling,Female,,"In 287 AC, at Crag",,,
361,Elia Martell,Female,,In 256 AC or 257 AC,"In 283 AC, at King's Landing",Princess,Elia of Dorne
362,Elinor Tyrell,Female,,In 286 AC (roughly),,,
363,Ella Lannister,Female,,,,,
364,Ellaria Sand,Female,Dornish,,,,The serpent's whore
365,Ellery Vance,Male,,,,Ser,
366,Ellyn Ever Sweet,Female,,,,,
367,Ellyn Reyne,Female,,At Castamere,"In 261 AC, at Tarbeck Hall",Lady of Tarbeck Hall,
368,Elmar Frey,Male,,In 290 AC,,,
369,Elwood Meadows,Male,Reach,In 278 AC or 279 AC,,Lord of Grassy Vale,
370,Elyana Vypren,Female,,In or between 264 AC and 282 AC,,,
371,Elyas Willum,Male,,,,,
372,Elyn Norridge,Female,,,,,
373,Elys Waynwood,Male,,,,Ser,
374,Elys Westerling,Male,,,,Ser,
375,Emberlei Frey,Female,,In 296 AC or 297 AC,,,
376,Emmon Cuy,Male,,At Sunflower Hall,"In 299 AC, at near Storm's End",Ser,Emmon the Yellow
377,Emmon Frey,Male,,In 237 AC or 238 AC,,Lord of Riverrun,Emm
378,Emphyria Vance,Female,,,,,
379,Endrew Tarth,Male,,,"In 299 AC, at Bridge of Skulls",Ser,
380,Eon Hunter,Male,,In 220 AC or before (roughly),In +/- 300 AC,Lord of Longbow Hall,Old Lord Hunter
381,Erena Glover,Female,Northmen,In 297 AC or 298 AC,,,
382,Ermesande Hayford,Female,,In 298 AC,,Lady of Hayford,
383,Erren Florent,Male,,,,Ser,
384,Ethan Glover,Male,Northmen,,"In 283 AC, at the Tower of Joy",,
385,Euron Greyjoy,Male,Ironborn,or before 267 AC,,"Iron King, King of the Isles and the North, King of Salt and Rock, Son of the Sea Wind, Lord Reaper of Pyke, Captain of the Silence","Crow's Eye, Euron Crow's Eye"
386,Eustace,Male,,,,Septon,
387,Eustace Hunter,Male,,,,Ser,
388,Eustace Osgrey,Male,,At Standfast,,"Knight and Master of Standfast, Lord of Coldmoat",The Knight of Standfast
389,Eyron Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",
390,Ezzelyno,Male,Braavosi,,,Red Priest,
391,Falena Stokeworth,Female,,In 125 AC,,Lady of Harrenhal,
392,Falyse Stokeworth,Female,,In 265 AC or before,"In 300 AC, at the Black Cells, Red Keep, King's Landing",,
393,Flement Brax,Male,,,,Ser,
394,Forley Prester,Male,,,,Ser,
395,Foss the Archer,Male,,,,,
396,Frankyln Fowler,Male,Dornish,,,"Lord of Skyreach, Warden of the Prince's Pass",The Old Hawk
397,Galbart Glover,Male,Northmen,At Deepwood Motte,,Master of Deepwood Motte,
398,Galladon Tarth,Male,,"In either 275 AC, 276 AC or 277 AC",In either 284 AC or 285 AC,,
399,Galtry the Green,Male,,,,Ser,
400,Gared,Male,,In or between 231 AC and 246 AC,"In 297 AC, at Beyond the Wall",,
401,Garlan Tyrell,Male,,"In 277 AC, at Highgarden",,"Ser, Lord of Brightwater Keep","Garlan the Gallant, Renly's ghost"
402,Garrett Paege,Male,,,,,
403,Garrison Prester,Male,,,,Lord of Feastfires,
404,Garse Goodbrook,Male,,,"At the Twins, in 299 AC",Ser,
405,Garth Greenfield,Male,Westerman,,,"The Knight of Greenfield, Ser",
406,Garth Greyfeather,Male,,,"In 300 AC, at Beyond the Wall",,
407,Garth Hightower,Male,,At Oldtown,,Ser,Garth Greysteel
408,Garth Tyrell,Male,,,,Lord Seneschal,Garth the Gross
409,Garth XII Gardener,Male,,,,King of the Reach,
410,Garth the Gardener,Male,First Men,,,King of the Reach,
411,Gawen Glover,Male,Northmen,In 295 AC or 296 AC,,,
412,Gawen Swann,Male,,"In 152 AC or before, at Stonehelm",,Lord of Stonehelm,
413,Gawen Westerling,Male,Westerman,,,Lord of the Crag,
414,Gawen Wylde,Male,,,"In 283 AC, at Storm's End","Ser, Master-at-arms at Storm's End",
415,Genna Lannister,Female,,In 245 AC,,Lady,
416,Gerald Gower,Male,,,,Ser,
417,Geremy Frey,Male,,In 263 AC,In or between 289 AC and 299 AC,Ser,
418,Gerion Lannister,Male,,In 255 AC,In circa 291 AC,,Gery
419,Germund Botley,Male,Ironborn,,,Lord of Lordsport,
420,Gerold Grafton,Male,,,,Lord of Gulltown,
421,Gerold Hightower,Male,,,"In 283 AC, at Tower of Joy","Ser, Lord Commander of the Kingsguard",The White Bull
422,Gerold Lannister,Male,Westerman,,In 244 AC,"Lord of Casterly Rock, Shield of Lannisport, Warden of the West",Gerold the Golden
423,Gevin Harlaw,Male,Ironborn,,"In 299 AC, at Winterfell",,
424,Gilbert Farring,Male,,,,Ser,
425,Gilbert of the Vines,Male,,,,,
426,Gilwood Hunter,Male,,In or between 250 AC and 254 AC,,"Ser, Lord of Longbow Hall",Young Lord Hunter
427,Gladden Wylde,Male,,,"In 298 AC, at the Mummer's Ford",Ser,
428,Glendon Flowers,Male,,In 196 AC,,Ser,"Glendon Ball, The Knight of the Pussywillows, Glendon the Bastard"
429,Godric Borrell,Male,Sistermen,At Sweetsister,,"Lord of Sweetsister, Shield of Sisterton, Master of Breakwater Castle, Keeper of the Night Lamp",
430,Godry Farring,Male,,,,Ser,Godry the Giantslayer
431,Gormon Peake,Male,,,"In 211 AC, at Whitewalls","Lord of Starpike, Dunstonbury (stripped) and Whitegrove (stripped)",Gormy
432,Gormond Drumm,Male,Ironborn,,,,Gormond the Oldfather
433,Gormond Goodbrother,Male,Ironborn,In 282 AC or 283 AC,,,
434,Gorold Goodbrother,Male,Ironborn,,,Lord of Hammerhorn,
435,Gowen Baratheon,Male,,,,,
436,Gran Goodbrother,Male,Ironborn,,,,
437,Grance Morrigen,Male,,,,Ser,
438,Grazdan mo Eraz,Male,Ghiscari,At Yunkai,,,
439,Grenn,Male,Westeros,In 281 AC or 282 AC,,,Aurochs
440,Greydon Goodbrother,Male,Ironborn,,,,
441,Gulian Qorgyle,Male,,,,Ser,
442,Gulian Swann,Male,,In 259 AC or before,,Lord of Stonehelm,
443,Guncer Sunglass,Male,,At Sweetport Sound,"In 299 AC, at Dragonstone",Lord of Sweetport Sound,
444,Gunthor Hightower,Male,,,,Ser,
445,Guthor Grimm,Male,,,,Lord of Greyshield,
446,Guyard Morrigen,Male,,"In or between 278 AC and 283 AC, at Crows Nest","In 299 AC, at King's Landing",Ser,Guyard the Green
447,Gwayne Corbray,Male,,,,Ser,
448,Gwayne Gaunt,Male,,,At Duskendale,Ser,
449,Gwayne Hightower,Male,,In or between 88 AC and 96 AC,"In 130 AC, at King's Landing",Ser,
450,Gwin Goodbrother,Female,Ironborn,,,,
451,Gwynesse Harlaw,Female,Ironborn,,,,
452,Gwyneth Yronwood,Female,Dornish,In 287 AC or 288 AC,,,
453,Gylbert Farwynd,Male,Ironborn,,,Lord of the Lonely Light,
454,Gyles,Male,,,,Ser,Gyles Greycloak
455,Gyles Farwynd,Male,Ironborn,,,,
456,Gyles Grafton,Male,,,,,
457,Gyles III Gardener,Male,,,,King of the Reach,
458,Gyles Rosby,Male,,,"In 300 AC, at King's Landing","Lord of Rosby, Lord Treasurer, Master of Coin",The Cougher
459,Gysella Goodbrother,Female,Ironborn,,,,
460,Halleck Hoare,Male,,,,King of the Isles and the Rivers,
461,Hallis Mollen,Male,Northmen,,,Captain of the guards for Winterfell,Hal
462,Halmon Paege,Male,,,,Ser,
463,Halys Hornwood,Male,Northmen,,"In 298 AC, at the Green Fork",Lord of the Hornwood,
464,Harbert Paege,Male,,,,Ser,
465,Harlan Grandison,Male,,,"In 281 AC, at King's Landing",Ser,
466,Harlan Hunter,Male,,,,Ser,
467,Harlen Tyrell,Male,Reach,,"In 5 AC, at Dorne","High Steward of Highgarden, Lord Paramount of the Mander, Lord of Highgarden, Warden of the South",Harlan Tyrell
468,Harlon Botley,Male,Ironborn,,,,
469,Harlon Greyjoy,Male,Ironborn,,At Pyke,,
470,Harmen Uller,Male,,,,Lord of Hellholt,
471,Harmond Umber,Male,Northmen,,,Lord of the Last Hearth,The Drunken Giant
472,Harrag Hoare,Male,Ironborn,,,High King of the Iron Isles,
473,Harras Harlaw,Male,Ironborn,,,"Ser, Master of Grey Garden, Lord of Greyshield",The Knight of Grey Garden
474,Harren Botley,Male,Ironborn,,"In 299 AC, at Moat Cailin",,
475,Harren Hoare,Male,Ironborn,,"2 BC, at Harrenhal",King of the Isles and the Rivers,"Harren the Black, Black Harren"
476,Harrion Karstark,Male,Northmen,At Karhold,,Lord of Karhold,Harry
477,Harrold Hardyng,Male,Valemen,In 281 AC or 282 AC,,Ser,"Harry the Heir, The Young Falcon, Harry the Arse"
478,Harrold Osgrey,Male,,,At the Redgrass Field,Ser,
479,Harrold Westerling,Male,Westerman,,In 112 AC,"Ser, Lord Commander of the Kingsguard",
480,Harry Strickland,Male,,,,Captain-General,Homeless Harry Strickland
481,Harwin Strong,Male,,In 90 AC or before,"In 120 AC, at Harrenhal","Ser, Captain","Breakbones, Brokenbones"
482,Harwood Fell,Male,,,"In 300 AC, at Wolfswood",Lord of Felwood,
483,Harwood Stout,Male,Northmen,,,Lord of Goldgrass,
484,Harwyn Hoare,Male,,,,"King of the Iron Islands, King of the Isles and the Rivers","Harwyn Hardhand, The Hardhand"
485,Harwyn Plumm,Male,,,,Ser,Hardstone
486,Harys Haigh,Male,,In or between 254 AC and 282 AC,,Ser,
487,Harys Swyft,Male,,,,"Knight of Cornfield, Hand of the King, Master of coin, Lord treasurer",
488,Helaena Targaryen,Female,,In 109 AC,"In 130 AC, at King's Landing",Queen,
489,Helicent Uffering,Female,,In 171 AC (roughly),,,
490,Helman Tallhart,Male,Northmen,At Torrhen's Square,"In 299 AC, at Duskendale","Ser, Master of Torrhen's Square",
491,Herbert Bolling,Male,,,,Ser,
492,Herrock Kenning,Male,Ironborn,,,Lord of Kayce,Herrock the Whoreson
493,Hilmar Drumm,Male,Ironborn,,,,Hilmar the Cunning
494,Hoare,Male,,,,Lord Commander of the Night's Watch,
495,Hoarfrost Umber,Male,Northmen,,,Lord of the Last Hearth,
496,Hobber Redwyne,Male,Reach,At the Arbor,,Ser,Slobber
497,Hooded Man,Male,,In Age of Heroes,,,
498,Horas Redwyne,Male,Reach,At the Arbor,,Ser,Horror
499,Horton Redfort,Male,Valemen,,,Lord of Redfort,
500,Hosman Norcross,Male,,,,Ser,
501,Hosteen Frey,Male,,In or between 250 AC and 258 AC,,Ser,Ser Stupid
502,Hoster Frey,Male,,In 287 AC,,,
503,Hoster Tully,Male,Rivermen,In or between 237 AC and 240 AC,"In 299 AC, at Riverrun","Lord Paramount of the Trident, Lord of Riverrun",
504,Hother Umber,Male,Northmen,"In 241 AC or before, at Last Hearth",,Castellan of Last Hearth,"Hother Whoresbane, Whoresbane Umber"
505,Hotho Harlaw,Male,Ironborn,,,Master of the Tower of Glimmering,Hotho Humpback
506,Howland Reed,Male,Crannogmen,"In or between 260 AC and 265 AC, at Greywater Watch",,Lord of Greywater Watch,
507,Hubard Rambton,Male,,,"In 299 AC, at Dragonstone",Ser,
508,Hugh,Male,Valemen,,"In 298 AC, at King's Landing",Ser,Ser Hugh of the Vale
509,Hugh Beesbury,Male,,,,Ser,
510,Hugh Grandison,Male,,,,Lord of Grandview,Greybeard
511,Hugo Vance,Male,,,,Ser,
512,Hugo Wull,Male,Northern mountain clans,,,"Big Bucket, The Wull",
513,Humfrey Beesbury,Male,,,"In 209 AC, at Ashford",Ser,
514,Humfrey Hardyng,Male,,,"In 209 AC, at Ashford",Ser,
515,Humfrey Hewett,Male,,,,Lord of Oakenshield,
516,Humfrey Swyft,Male,,,,Ser,
517,Humfrey Wagstaff,Male,,"In 230 AC, 231 AC or 232 AC",,"Ser, Castellan of Grandview",
518,Hyle Hunt,Male,,,,Ser,
519,Igon Vyrwel,Male,,,,,
520,Illifer,Male,,In 240 AC or before,,Ser,Illifer the Penniless
521,Ilyn Payne,Male,Westeros,,,Ser King's Justice,
522,Imry Florent,Male,,,"In 299 AC, at the Blackwater Rush","Ser, Lord High Captain",The Fool of Florent
523,Jacelyn Bywater,Male,,,"In 299 AC, at King's Landing","Ser, Captain of the Mud Gate, Commander of the City Watch, Lord",Ironhand
524,Jack Bulwer,Male,,,"In 300 AC, at Beyond the Wall",First Ranger,Black Jack Bulwer
525,Jack Musgood,Male,Stormlands,,,Lord Commander of the Night's Watch,"Jolly Jack, Sleepy Jack"
526,Jaehaerys I,Male,,"34 AC, at King's Landing","103 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","The Conciliator, The Wise, The Old King"
527,Jaehaerys II,Male,,"225 AC, at King's Landing","262 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",
528,Jaime Frey,Male,,In 299 AC or 300 AC,,,
529,Jaime Lannister,Male,Westerlands,"In 266 AC, at Casterly Rock",,"Ser, Lord Commander of the Kingsguard, Warden of the East (formerly)","The Kingslayer, The Lion of Lannister, The Young Lion, Cripple"
530,Jammos Frey,Male,,In 266 AC or 267 AC,,Ser,
531,Janei Lannister,Female,,In 296 AC or 297 AC,,,
532,Janna Tyrell,Female,,,,,
533,Janos Slynt,Male,,"In or between 278 AC and 260 AC, at King's Landing","In 300 AC, at Castle Black",Commander of the City Watch Lord of Harrenhal,
534,Janyce Hunter,Female,,,,,
535,Jared Frey,Male,,In 248 AC or 249 AC,In 300 AC (suspected),Ser,
536,Jaremy Rykker,Male,,,"In 298 AC, at Castle Black",Seracting First Ranger,
537,Jarman Buckwell,Male,,,In 300 AC (supposedly),Ser,
538,Jason Lannister,Male,,,"In 130 AC, at the Red Fork","Ser, Lord of Casterly Rock, Shield of Lannisport, Warden of the West",
539,Jason Mallister,Male,,At Seagard,,Lord of Seagard,
540,Jasper Arryn,Male,,,,"Lord of the Eyrie Defender of the Vale, Warden of the East",
541,Jasper Redfort,Male,Valemen,,,Ser,
542,Jasper Waynwood,Male,,,,,
543,Jasper Wylde,Male,,,"In 130 AC, at King's Landing","Lord of the Rain House, Master of laws",Ironrod
544,Jeffory Mallister,Male,,,At King's Landing,,
545,Jeffory Norcross,Male,,,,Ser,Neveryield
546,Jena Dondarrion,Female,,,,,
547,Jeor Mormont,Male,Northmen,In 230 AC,"In 299 AC, at Craster's Keep","Lord of Bear Island (formerly), Lord Commander of the Night's Watch",The Old Bear
548,Jeyne Arryn,Female,Valemen,,"In 134 AC, at Gulltown","Lady of the Eyrie, Defender of the Vale, Warden of the East, Lady Regent",The Maiden of the Vale
549,Jeyne Beesbury,Female,,,,,
550,Jeyne Darry,Female,Westeros,,,,
551,Jeyne Farman,Female,,,,,
552,Jeyne Fossoway,Female,,,,,
553,Jeyne Goodbrook,Female,,In 293 AC,,,
554,Jeyne Lothston,Female,,In 164 AC,,,
555,Jeyne Lydden,Female,,,,,
556,Jeyne Marbrand,Female,,,In 255 AC,Lady of Casterly Rock,
557,Jeyne Poole,Female,Northmen,At Winterfell,,,Arya Stark
558,Jeyne Royce,Female,,,,,
559,Jeyne Swann,Female,,,,,
560,Jeyne Westerling,Female,,In 27 AC or before,In 47 AC or 48 AC,"Queen, Black Bride",
561,Jeyne Westerling,Female,Westerman,"In 283 AC, at the Crag",,"Queen, Lady of Winterfell",
562,Joanna Lannister,Female,Westerman,"In or between 245 AC and 250 AC, at Casterly Rock",In 273 AC,Lady of Casterly Rock,
563,Joanna Swyft,Female,,,,,
564,Jocelyn Swyft,Female,,,,,
565,Joffrey Baratheon,Male,,"286 AC, at King's Landing","300 AC, at Red Keep, King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Joffrey the Illborn, The Young Usurper, Aerys the Third, Joffrey-called-Baratheon"
566,Joffrey Caswell,Male,,In 190 AC or 191 AC,,Lord of Bitterbridge,
567,Joffrey Lonmouth,Male,,In 99 AC or before,"In 114 AC, at King's Landing",Ser,Knight of Kisses
568,Johanna Lannister,Female,,At the Crag,,Lady of Casterly Rock,
569,Johanna Swann,Female,,,,,The Black Swan
570,John the Oak,Male,,,,,The First Knight
571,Jojen Reed,Male,Crannogmen,"In 286 AC, at Greywater Watch",,,Little Grandfather
572,Jon Arryn,Male,Valemen,"In or between 217 AC and 220 AC (roughly), at the Eyrie","In 298 AC, at King's Landing","Lord of the Eyrie, Defender of the Vale, Warden of the East, Hand of the King",
573,Jon Bettley,Male,,,,Ser,Beardless Jon
574,Jon Brax,Male,,In 296 AC,,,
575,Jon Bulwer,Male,,,,Lord of Blackcrown,
576,Jon Connington,Male,Stormlands,In or between 263 AC and 265 AC,,"Lord of Griffin's Roost, Hand of the King, Hand of the True King",Griffthe Mad King's Hand
577,Jon Fossoway,Male,Reach,,,"The Knight of New Barrel, Ser",
578,Jon Hollard,Male,,,,Ser,
579,Jon Lynderly,Male,,,,Lord of the Snakewood,
580,Jon Myre,Male,Ironborn,,,,Pinchface Jon
581,Jon Penrose,Male,,,,Ser,
582,Jon Redfort,Male,Valemen,,,Ser,
583,Jon Snow,Male,Northmen,In 283 AC,,Lord Commander of the Night's Watch,"Lord Snow, Ned Stark's Bastard, The Snow of Winterfell, The Crow-Come-Over, The 998th Lord Commander of the Night's Watch, The Bastard of Winterfell, The Black Bastard of the Wall, Lord Crow"
584,Jon Stark,Male,,,,King in the North,
585,Jon Umber,Male,Northmen,At the Last Hearth,,Lord of the Last Hearth,"The Greatjon, Greatjon Umber"
586,Jon Umber,Male,Northmen,,"In 299 AC, at the Twins",,"The Smalljon, Smalljon Umber"
587,Jon Wylde,Male,,,,Ser,
588,Jonelle Cerwyn,Female,Northmen,"In 267 AC, at Cerwyn",,Lady of Cerwyn,
589,Jonnel Stark,Male,,,,"Lord of Winterfell, Warden of the North",One-Eye
590,Jonos Frey,Male,,In 291 AC,,,
591,Jonos Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",
592,Jonothor Darry,Male,,,"In 283 AC, at the Trident",Ser,Jon Darry
593,Jorah Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",
594,Jorelle Mormont,Female,Northmen,In or between 278 AC and 289 AC,,,Jory
595,Jory Cassel,Male,Northmen,At Winterfell,"In 298 AC, at King's Landing",Captain of the guard,
596,Joseth Mallister,Male,,,,Ser,
597,Josmyn Peckledon,Male,,In 284 AC or 285 AC,,,Peck
598,Josua Willum,Male,,,,,
599,Jothos Slynt,Male,,,,,
600,Joyeuse Erenford,Female,,In 282 AC or 283 AC,,Lady of the Crossing,
601,Justin Massey,Male,,,,Ser,The Smiler
602,Jyanna Frey,Female,,,,,
603,Karlon Stark,Male,Northmen,,,Lord of Karl's Hold,
604,Karyl Vance,Male,,At Wayfarer's Rest,,"Ser, Lord of Wayfarer's Rest",
605,Kevan Lannister,Male,,In 244 AC,"In 300 AC, at King's Landing","Ser, Master of laws, Lord Regent, Protector of the Realm",
606,Kirth Vance,Male,,,,,
607,Kyle Condon,Male,,,,Ser,
608,Kyle Royce,Male,,,At King's Landing,,
609,Kyra Frey,Female,,In or between 262 AC and 277 AC,,,
610,Laena Velaryon,Female,Valyrian,In 93 AC,"In 120 AC, at Driftmark",,
611,Laenor Velaryon.,Male,Valyrian,In 94 AC,"In 120 AC, at Spicetown",Ser,
612,Lambert Turnberry,Male,,,,Ser,
613,Lancel Lannister,Male,,In 282 AC,,"Ser, Lord of Darry",
614,Lancel V Lannister,Male,,,,King of the Rock,
615,Lann,Male,,In Age of Heroes,,,Lann the Clever
616,Lanna Lannister,Female,,In or between 271 AC and 286 AC,,,
617,Larence Snow,Male,Northmen,In 286 AC,,,
618,Larys Strong,Male,,In 91 AC or before,,"Lord of Harrenhal, Master of whisperers",Larys Clubfoot
619,Leana Frey,Female,,In 299 AC or 300 AC,,,
620,Lenwood Tawney,Male,Ironborn,,,,Little Lenwood Tawney
621,Leo Blackbar,Male,,,,Ser,
622,Leo Lefford,Male,,,"In 299 AC, at Trident",Lord of the Golden Tooth,
623,Leo Tyrell,Male,Reach,,,"Lord Paramount of the Mander, Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South",Leo Longthorn
624,Leo Tyrell,Male,,,,Ser,
625,Leobald Tallhart,Male,Northmen,At Torrhen's Square,"In 299 AC, at Winterfell",Castellan of Torrhen's Square,
626,Leona Tyrell,Female,,,,,
627,Leona Woolfield,Female,,,,,
628,Leonella Lefford,Female,,,,,
629,Leslyn Haigh,Male,,,,Ser,
630,Lester Morrigen,Male,,,,Lord of Crows Nest,
631,Lewyn Martell,Male,Dornish,,"In 283 AC, at the Trident","Prince, Ser",
632,Lewys Lydden,Male,,,,Lord of the Deep Den,
633,Lewys Piper,Male,Rivermen,,,,Little Lew
634,Leyla Hightower,Female,,,,,
635,Leyton Hightower,Male,,,,"Lord of the Hightower, Lord of the Port, Voice of Oldtown, Defender of the Citadel, Beacon of the South",Old Man of Oldtown
636,Lia Serry,Female,,,,,
637,Liane Vance,Female,,,,,
638,Lollys Stokeworth,Female,,In 265 AC,,Lady of Stokeworth,Lollys Lackwit
639,Lomas Estermont,Male,Stormlands,,,Ser,
640,Loras Tyrell,Male,Reach,"In 282 AC, at Highgarden",,"Ser, Lord Commander of the Rainbow Guard","The Knight of Flowers, Knight o' Pansies, Ser Daisy"
641,Lord Ashford,Male,Reach,,,Lord of Ashford,
642,Lord Caswell,Male,,,,"Lord of Bitterbridge, Defender of the Fords",
643,Lord Staunton,Male,,,"In 129 AC, at Rook's Rest",Lord of Rook's Rest,
644,Lorent Caswell,Male,,,,"Lord of Bitterbridge, Defender of the Fords",
645,Lorent Lorch,Male,,,,Ser,
646,Lorent Marbrand,Male,Westerman,,"In 130 AC, at King's Landing","Ser, Lord Commander of the Queensguard",
647,Lorent Tyrell,Male,,,,,
648,Lorra Royce,Female,,,,Lady of Winterfell,
649,Lothar Frey,Male,Rivermen,"In 265 AC or 266 AC, at Twins",,Steward of the Twins,Lame Lothar
650,Lothar Mallery,Male,,,"In 298 AC, at Mummer's Ford",Lord,
651,Lothor Brune,Male,,,,Ser,Lothor Apple-Eater
652,Lucamore Strong,Male,,,,Ser,Lucamore the Lusty
653,Lucas Codd,Male,Ironborn,,,,Left-Hand Lucas
654,Lucas Corbray,Male,,,,Ser,
655,Lucas Inchfield,Male,,,"In 211 AC, at the Chequy Water",Ser,Lucas the Longinch
656,Lucas Lothston,Male,,,,"Lord of Harrenhal, Hand of the King",
657,Lucas Roote,Male,,,"In 299 AC, at the Riverlands",,
658,Lucas Tyrell,Male,,,,,
659,Luceon Frey,Male,,In or between 249 AC and 257 AC,,Septon,
660,Lucias Vypren,Male,,,,Lord,
661,Lucimore Botley,Male,Ironborn,,,,
662,Lucion Lannister,Male,,In or between 270 AC and 285 AC,,Ser,
663,Lucos Chyttering,Male,,In 283 AC,,Lord,Little Lucos
664,Luthor Tyrell,Male,Reach,At Highgarden,,"Lord Paramount of the Mander, Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South",
665,Luthor Tyrell,Male,,,,Ser,
666,Luthor Tyrell,Male,,,,,
667,Lyanna Mormont,Female,Northmen,In 290 AC,,,
668,Lyarra Stark,Female,Northmen,,,,
669,Lyessa Flint,Female,Northmen,,,Lady of Widow's Watch,
670,Lyle Crakehall,Male,,At Crakehall,,Ser,Strongboar
671,Lyman Beesbury,Male,,In 48 AC or 49 AC,"In 129 AC, at King's Landing","Lord, Master of coin",
672,Lyman Darry,Male,,In 290 AC or 291 AC,"In 299 AC, at Darry",Lord of Darry,
673,Lymond Goodbrook,Male,,,,Lord,
674,Lymond Lychester,Male,Rivermen,,,Lord of Castle Lychester,
675,Lymond Mallister,Male,,,,Lord of Seagard,
676,Lymond Vikary,Male,,,,Ser,
677,Lyn Corbray,Male,,At Heart's Home,,Ser,
678,Lynesse Hightower,Female,,,,,
679,Lyonel Baratheon,Male,,,In or between 239 AC and 245 AC,"Ser, Lord of Storm's End, Lord Paramount of the Stormlands, Storm King (briefly)",The Laughing Storm
680,Lyonel Bentley,Male,,,"In 130 AC, at between Stokeworth and Duskendale",Ser,
681,Lyonel Corbray,Male,,"In 260 AC (roughly), at Heart's Home",,Lord of Heart's Home,
682,Lyonel Frey,Male,,In or between 259 AC and 283 AC,,Ser,
683,Lyonel Selmy,Male,,,,"Ser, Knight of Harvest Hall",
684,Lyonel Strong,Male,,,"In 120 AC, at Harrenhal","Lord of Harrenhal, Master of laws, Hand of the King",
685,Lyonel Tyrell,Male,Reach,,"In 159 AC or 160 AC, at Sandstone","Lord Paramount of the Mander, Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South",
686,Lyonel Tyrell,Male,,,,,
687,Lyra Mormont,Female,Northmen,In or between 277 AC and 288 AC,,,
688,Lysa Arryn,Female,,"In 266 AC or 267 AC, at Riverrun","In 300 AC, at the Eyrie",Lady of the Vale,Lysa Tully
689,Lysa Meadows,Female,,,,,
690,Lythene Frey,Female,,In 251 AC and 259 AC,,,
691,Mace Tyrell,Male,,In After 256 AC,,"Lord of Highgarden, Defender of the Marches, High Marshal of the Reach, Warden of the South, Hand of the King, Master of ships (formerly)","Lord Oaf, The Fat Flower, Lord Puff Fish"
692,Maege Mormont,Female,Northmen,In or between 239 AC and 257 AC,,Lady of Bear Island,The She-Bear
693,Maegelle Frey,Female,,In or between 249 AC and 266 AC,,,
